Code,Name,Close,Volume,Daily_Amount_B,Daily_Chg%,Vol_Increase,Sector,Industry,RVOL,Weekly_Chg%,Monthly_Chg%
2509.TW,全坤建,15.55,180181.0,0.02804371,-0.6389776357827477,True,一般,一般,0,0,0
2511.TW,太子,8.45,3417321.0,0.28969554,4.192355117139335,True,一般,一般,0,0,0
2514.TW,龍邦,14.75,103949.0,0.01535261,0.34013605442176875,False,一般,一般,0,0,0
2515.TW,中工,13.05,7354848.0,0.95934167,0.7722007722007722,True,一般,一般,0,0,0
2516.TW,新建,14.5,140472.0,0.0204003,0.0,False,一般,一般,0,0,0
2520.TW,冠德,32.65,2716767.0,0.88084284,2.03125,True,一般,一般,0,0,0
2524.TW,京城,41.2,141953.0,0.05870531,0.12150668286755771,True,一般,一般,0,0,0
2527.TW,宏璟,29.1,160298.0,0.04674168,-0.17152658662092624,False,一般,一般,0,0,0
2528.TW,皇普,29.85,329325.0,0.09841209,-0.33388981636060094,True,一般,一般,0,0,0
2530.TW,華建,29.1,1324980.0,0.38519657,1.3937282229965158,False,一般,一般,0,0,0
2534.TW,宏盛,20.35,299683.0,0.06112854,-0.4889975550122249,False,一般,一般,0,0,0
2535.TW,達欣工,63.9,211867.0,0.13541052,-0.15625,False,一般,一般,0,0,0
